edge_num,Node_1,X_1,Y_1,Node_2,X_2,Y_2,length,C-betweenness_1,C-betweenness_2,C-closness_1,C-closness_2,K-core_1,K-core_2,Edge_vunerability
137,76,1184.17,403.23,73,1175.55,345.78,58.0844,0.2391925347552847,0.16555576715546244,0.0009090894089540957,0.0008834403787700397,2,2,0.006558262051445733
138,170,888.35,299.83,50,1020.46,368.76,149.0168,0.378086713641846,0.1802831206754269,0.0009070093619799332,0.0009161952352771633,2,2,0.0016358559694492506
139,158,700.94,349.37,170,888.35,299.83,193.8420,0.48168602805814764,0.378086713641846,0.0009024645877446117,0.0009070093619799332,2,2,0.024829294502374397
140,104,1490.05,278.29,106,1513.02,400.35,124.2074,0.04329334095092998,0.051672697264013204,0.000700349871503268,0.0007108027673198558,2,2,0.005844653083245246
141,104,1490.05,278.29,28,1557.54,276.85,67.5093,0.04329334095092998,0.0,0.000700349871503268,0.0006689017814262516,2,1,0.009746272922088323
142,178,996.05,272.55,50,1020.46,368.76,99.2637,0.2256078207325589,0.1802831206754269,0.0008987791080533298,0.0009161952352771633,2,2,0.001780883755778548
143,170,888.35,299.83,178,996.05,272.55,111.1056,0.378086713641846,0.2256078207325589,0.0009070093619799332,0.0008987791080533298,2,2,0.0047097239011624934
144,116,24.56,263.21,10,1.59,270.39,24.0725,0.044816860280581475,0.0,0.0006256742494628141,0.0006164418443693961,1,1,0.011051112515465126
145,55,1069.29,255.31,61,1106.62,414.71,163.7153,0.20173935123468545,0.09306163905287881,0.0008882051013639846,0.0009215445033690124,2,2,0.0005384746917298191
146,178,996.05,272.55,55,1069.29,255.31,75.2383,0.2256078207325589,0.20173935123468545,0.0008987791080533298,0.0008882051013639846,2,2,0.00709232558785908
147,149,579.60,249.57,44,637.04,275.42,201.1748,0.044816860280581475,0.0,0.0007732964495023648,0.0006696982882307457,1,1,0.008199640057369489
148,172,94.93,238.80,116,24.56,263.21,74.4807,0.08874500095219959,0.044816860280581475,0.0006553564224384496,0.0006256742494628141,1,1,0.024582038494954356
149,68,1145.40,232.34,73,1175.55,345.78,117.3873,0.19869231257538247,0.16555576715546244,0.0008730859631953751,0.0008834403787700397,2,2,0.0017986584280863622
150,55,1069.29,255.31,68,1145.40,232.34,79.5028,0.20173935123468545,0.19869231257538247,0.0008882051013639846,0.0008730859631953751,2,2,0.006743328847957122
151,156,667.19,226.59,158,700.94,349.37,127.3351,0.22903573922427475,0.48168602805814764,0.0008300328116120593,0.0009024645877446117,2,2,0.02698270580816609
152,156,667.19,226.59,149,579.60,249.57,90.9482,0.22903573922427475,0.044816860280581475,0.0008300328116120593,0.0007732964495023648,2,1,0.025400348247324657
153,124,268.69,211.51,128,326.13,418.30,214.8200,0.26077572525868087,0.36221672062464294,0.0007512621458339586,0.000859123791547244,2,2,0.007216105310863648
154,112,181.09,205.77,172,94.93,238.80,92.2763,0.13165746207071669,0.08874500095219959,0.0006952765593621368,0.0006553564224384496,1,1,0.037732213859104025
155,156,667.19,226.59,166,770.59,205.05,105.6151,0.22903573922427475,0.08836412111978671,0.0008300328116120593,0.0007662561271820143,2,2,0.040372839505083295
156,86,1261.72,202.18,73,1175.55,345.78,167.4700,0.2913730717958484,0.16555576715546244,0.0008273175514686507,0.0008834403787700397,2,2,0.0018696189787953635
157,86,1261.72,202.18,68,1145.40,232.34,120.1652,0.2913730717958484,0.19869231257538247,0.0008273175514686507,0.0008730859631953751,2,2,0.004687017673621498
158,116,24.56,263.21,8,0.87,200.74,66.8108,0.044816860280581475,0.0,0.0006256742494628141,0.0006007047805284807,1,1,0.00906035560264248
159,149,579.60,249.57,39,435.99,324.24,285.5772,0.044816860280581475,0.0,0.0007732964495023648,0.0006340599402231014,1,1,0.007485649240378781
160,140,409.42,425.48,130,339.06,188.54,247.1748,0.2669967625214245,0.03275566558750714,0.000861495265495715,0.0007432240362735217,2,2,0.00048107923597856653
161,130,339.06,188.54,124,268.69,211.51,74.0224,0.03275566558750714,0.26077572525868087,0.0007432240362735217,0.0007512621458339586,2,2,0.0022884170789332276
162,122,260.08,178.48,124,268.69,211.51,34.1344,0.21519710531327366,0.26077572525868087,0.0007348526314333544,0.0007512621458339586,2,2,0.013959147026216149
163,122,260.08,178.48,112,181.09,205.77,83.5624,0.21519710531327366,0.13165746207071669,0.0007348526314333544,0.0006952765593621368,2,1,0.052152883586504176
164,178,996.05,272.55,176,970.20,169.15,106.5773,0.2256078207325589,0.08100044435980448,0.0008987791080533298,0.0008445644374183053,2,2,0.0016473015509932028
165,170,888.35,299.83,176,970.20,169.15,154.1993,0.378086713641846,0.08100044435980448,0.0009070093619799332,0.0008445644374183053,2,2,0.0017073899086467734
166,168,826.60,156.23,166,770.59,205.05,80.6719,0.0666539706722529,0.08836412111978671,0.0007233032023572712,0.0007662561271820143,2,2,0.005130513371986235
167,103,1464.20,151.92,104,1490.05,278.29,128.9884,0.2840093950358662,0.04329334095092998,0.0007278091840479474,0.000700349871503268,2,2,0.008590159446744555
168,86,1261.72,202.18,103,1464.20,151.92,208.6271,0.2913730717958484,0.2840093950358662,0.0008273175514686507,0.0007278091840479474,2,2,0.020539958630763494
169,103,1464.20,151.92,31,1558.98,147.61,94.8767,0.2840093950358662,0.0,0.0007278091840479474,0.0006810457240535607,2,1,0.009947083350874708
170,130,339.06,188.54,135,364.91,139.71,71.2209,0.03275566558750714,0.044182060559893356,0.0007432240362735217,0.0007199497015958343,2,2,0.002159374746821007
171,118,244.28,131.10,122,260.08,178.48,49.9529,0.048371738716434964,0.21519710531327366,0.000712308838877431,0.0007348526314333544,2,2,0.005944515587504545
